Gene,Freq,wes,rna
TNF,0.8888888888888888,0,1
TMPRSS6,0.8444444444444444,0,1
C8G,0.7777777777777778,0,1
SBSN,0.7777777777777778,0,1
PRG4,0.7555555555555555,0,1
STPG3,0.7111111111111111,0,1
RTL1,0.7111111111111111,0,1
PDE6B,0.6888888888888889,0,1
KRT39,0.6444444444444445,0,1
CD5L,0.6,0,1
HMOX1,0.5555555555555556,0,1
ARRDC1,0.5161290322580645,1,0
SEMA6B,0.4666666666666667,0,1
FCN3,0.4444444444444444,0,1
NEURL1B,0.4193548387096774,1,0
GNAQ,0.4193548387096774,1,0
DUSP1,0.4193548387096774,1,0
CXCL9,0.3555555555555555,0,1
CFH,0.3555555555555555,0,1
TTN,0.3548387096774194,1,0
ADM,0.3225806451612903,1,0
CXCL10,0.3111111111111111,0,1
PLEC,0.2903225806451613,1,0
GNA11,0.2903225806451613,1,0
MUC16,0.2903225806451613,1,0
C7,0.2888888888888888,0,1
C3,0.2666666666666666,0,1
BAP1,0.2580645161290322,1,0
CAPN8,0.2444444444444444,0,1
ABCC2,0.2444444444444444,0,1
DST,0.2258064516129032,1,0
SEPTIN5,0.2258064516129032,1,0
CELSR1,0.2258064516129032,1,0
SSC5D,0.2258064516129032,1,0
BCL2L2,0.2258064516129032,1,0
APC,0.2258064516129032,1,0
STAB1,0.2258064516129032,1,0
GP1BB,0.2258064516129032,1,0
MS4A1,0.2,0,1
HSPG2,0.1935483870967742,1,0
BCHE,0.1935483870967742,1,0
GPR179,0.1935483870967742,1,0
MYO7A,0.1935483870967742,1,0
CCDC168,0.1935483870967742,1,0
PTPN13,0.1935483870967742,1,0
PPIAL4E,0.1935483870967742,1,0
NKX2-2,0.1935483870967742,1,0
LIFR,0.1935483870967742,1,0
FOXA2,0.1935483870967742,1,0
PAX1,0.1935483870967742,1,0
APOB,0.1935483870967742,1,0
DNAH1,0.1935483870967742,1,0
DNAH10,0.1935483870967742,1,0
WDR17,0.1935483870967742,1,0
UPF2,0.1935483870967742,1,0
EXPH5,0.1935483870967742,1,0
SLC2A5,0.1777777777777777,0,1
MZB1,0.1777777777777777,0,1
PRUNE2,0.1612903225806451,1,0
ABCA13,0.1612903225806451,1,0
SCN10A,0.1612903225806451,1,0
BRF2,0.1612903225806451,1,0
TTYH1,0.1612903225806451,1,0
VWF,0.1612903225806451,1,0
FBN1,0.1612903225806451,1,0
SLCO5A1,0.1612903225806451,1,0
SYNJ2,0.1612903225806451,1,0
LENG8,0.1612903225806451,1,0
LRP1,0.1612903225806451,1,0
COL7A1,0.1612903225806451,1,0
COL28A1,0.1612903225806451,1,0
MYO15A,0.1612903225806451,1,0
NCOR2,0.1612903225806451,1,0
LENG9,0.1612903225806451,1,0
HPGD,0.1555555555555555,0,1
OBSCN,0.1290322580645161,1,0
FAM240C,0.1290322580645161,1,0
BBX,0.1290322580645161,1,0
GAMT,0.1290322580645161,1,0
GUCA1C,0.1290322580645161,1,0
TTC27,0.1290322580645161,1,0
KLHL30,0.1290322580645161,1,0
ABCA2,0.1290322580645161,1,0
SOX10,0.1290322580645161,1,0
TNIP3,0.1290322580645161,1,0
CEACAM6,0.1290322580645161,1,0
CACNA1H,0.1290322580645161,1,0
CEACAM7,0.1290322580645161,1,0
ABCC3,0.1290322580645161,1,0
ROS1,0.1290322580645161,1,0
FRAS1,0.1290322580645161,1,0
WNT8A,0.1290322580645161,1,0
TRIP11,0.1290322580645161,1,0
SLC12A9,0.1290322580645161,1,0
SLC4A9,0.1290322580645161,1,0
NOD2,0.1290322580645161,1,0
SIGLEC1,0.1290322580645161,1,0
SETD6,0.1290322580645161,1,0
LYPD4,0.1290322580645161,1,0
MUC12,0.1290322580645161,1,0
SALL3,0.1290322580645161,1,0
MYH7B,0.1290322580645161,1,0
RTP5,0.1290322580645161,1,0
KRT76,0.1290322580645161,1,0
PTPRU,0.1290322580645161,1,0
PIEZO1,0.1290322580645161,1,0
OC90,0.1290322580645161,1,0
PKHD1L1,0.1290322580645161,1,0
ZSCAN20,0.1290322580645161,1,0
EP300,0.1290322580645161,1,0
CEACAM5,0.1290322580645161,1,0
ANKRD27,0.1290322580645161,1,0
ANK1,0.1290322580645161,1,0
AMIGO3,0.1290322580645161,1,0
CEACAM3,0.1290322580645161,1,0
CEACAM4,0.1290322580645161,1,0
ARHGEF17,0.1290322580645161,1,0
